xload, zload, xnodes, znodes, decknodes, time, responses...
35, 9.4, 2, 2, 1005, 94.847816307, -0.000127148
35, 9.4, 6, 3, 1292, 106.51497704799999, -0.000189079
35, 9.4, 10, 4, 1587, 127.02405855699999, -0.000164621
35, 9.4, 14, 5, 1890, 140.058325045, -0.000257809
35, 9.4, 18, 7, 2232, 144.68209203099997, -0.000206485
35, 9.4, 22, 8, 2555, 155.33860479400005, -0.000253753
35, 9.4, 26, 9, 2886, 148.77210870099998, -0.000273786
35, 9.4, 30, 11, 3268, 152.068222075, -0.00027113
35, 9.4, 35, 12, 3696, 177.50287122100008, -0.000282324
35, 9.4, 39, 13, 4056, 220.54042203599988, -0.000284144
35, 9.4, 43, 15, 4480, 252.9680000410001, -0.000290775
35, 9.4, 47, 16, 4860, 282.67717366500005, -0.000295372
35, 9.4, 51, 17, 5248, 263.1678081979999, -0.000295449
35, 9.4, 55, 19, 5712, 245.14961182499974, -0.000298595
35, 9.4, 59, 20, 6120, 246.73577368600036, -0.000299629
35, 9.4, 63, 21, 6536, 273.979427193, -0.000301949
35, 9.4, 68, 23, 7128, 289.06097217800016, -0.000303278
35, 9.4, 72, 24, 7565, 359.50695225499976, -0.000303126
35, 9.4, 76, 25, 8010, 389.8772285739997, -0.000305769
35, 9.4, 80, 27, 8556, 393.3884624299999, -0.000306359
35, 9.4, 84, 28, 9021, 390.22188243300025, -0.000307101
35, 9.4, 88, 29, 9494, 449.18822705299954, -0.000307257
35, 9.4, 92, 31, 10080, 376.29216961600014, -0.000307896
35, 9.4, 97, 32, 10670, 390.1740167749995, -0.00030905
35, 9.4, 101, 33, 11172, 378.488310273, -0.000308442
35, 9.4, 105, 35, 11800, 397.4968995600002, -0.000310141
35, 9.4, 109, 36, 12322, 396.0519924500004, -0.000310706
35, 9.4, 113, 37, 12852, 410.6747365049996, -0.000310608
35, 9.4, 117, 38, 13390, 340.3585985669997, -0.00031051
35, 9.4, 121, 40, 14070, 356.39041977000034, -0.000311209
35, 9.4, 125, 41, 14628, 384.0034357149998, -0.000311611
35, 9.4, 130, 42, 15301, 414.5668972250005, -0.000311128
35, 9.4, 134, 44, 16023, 429.37374068700046, -0.000312524
35, 9.4, 138, 45, 16610, 421.78378388800047, -0.000312737
35, 9.4, 142, 46, 17205, 444.0005384069991, -0.000312184
35, 9.4, 146, 48, 17967, 476.5662681569993, -0.000312917
35, 9.4, 150, 49, 18582, 479.42498005000016, -0.000313464
35, 9.4, 154, 50
